Full Address,Latitude,Longitude,NH. No,No. of fatalities,Reasons for frequent accidents,Nature of treatment required at the specific spot/stretches
"HOWRAH RURAL Dhulagarh Xing, Sankrail PS, New korola to Dhulagarh Toll Plazza 200 Mts. ",22.5338628,88.2290341,6,5,"1. Unplanned road near the 
 Dhulagarh Xing. 2. There is no sufficient light and Traffic Signals. 
 3. Rash and negligent driving by the drivers.","1.Traffic officers and men should be increased. 
 2. Traffic signages and signals should be introduced."
"HOWRAH RURAL Ankurhati Xing, Domjur PS, 
 Prasastha to Ankurhati Anchal 1 
 Km. ",22.6338424,88.2209743,6,7,"1. There are so many villages, Markets etc. in both side of the roads. Peoples used to come for marketing in a large scale.","1. Foot over bridge / underpass may be 
  constructed. 2. 
 No of Traffic Police should be increased."
"PURBA 
 MEDINIPUR Deaulia Bazar, Kolaghat PS, Borda 
 more to Haldia more 1 1/2 Kms. ",22.4370901,87.8397623,6,4,"1. Large no of people used to come for marketing. 
 2. There is no Flyover or 
 Footover Bridge. 3. Several cutouts on the road and hapazard movements of pedestrians through this cutouts.","1. Construction of Flyover and Foot over Bridge
  is needed. 2. Traffic
 Police should be deployed in a large scale."
"PURBA 
 MEDINIPUR Kanchi, Nandakumar PS, 
 Hatgeria to Bankrabandh 1 1/2
  Kms. ",21.9372879,87.7763333,41,4,1. Market / school etc are located beside the road. 2. Several nos of cutouts on the road.,1. Guard rail to be placed to close some cutouts. 2. High speed driving of vehicles should be restricted.
"MALDA Sukanta more, English Bazar PS, 350 Mts. ",24.9966296,88.1417358,34,_,1. Narrow shape of road. 2. Rush & negligent driving by the drivers.,1. Road should be extended. 2. Rash driving should be controlled by strict Law enforcement.
"MALDA Rathbari more, English Bazar PS, 420 more to Hospital gate 400 Mts. ",25.0107652,88.1410206,34,_,"1. Rash and negligent driving. 
 2. Narrow shape of road.","1. Manpower of Traffic Police to be increased. 
 2. Road should be extended."
"PASCHIM MEDINIPUR Debra Xing, Debra PS, 
 Dwarikapur to Dhantore 4 
 Kms. ",22.3941911,87.5432941,6,_,"1. Hapazard movements of 
 pedestrins and vehicles. 2. Rash and negligent driving by the drivers.",1. No of Traffic personnel should be increased. 2. Law enforcement against rash and negligent driving.
" Basantapur, Kharagpur PS, Basantapur 1 1/2 Kms. ",22.34601,87.2319753,6,_,1. Rash and negligent driving by the drivers.,1. Rash driving should be controlled by strict enforcement of law.
"DARJEELING Jhankar more, Siliguri PS, Jhankarmore 100 Mts. ",26.7116521,88.4186051,31,_,1.Driving vehicles in excessive speed by the drivers.,1. Speed breaker to be introduced to control driving vehicles in excessive speed.
"DARJEELING NTS more, Siliguri PS, 
 NTS 150 Mts. ",26.7016383,88.431939,31,_,1. Hapazard movement of city auto towards NGP.,"1. Permit should be restricted. 2.
 One way towards NGP may be introduced by notification."
